news_id,headline,news,news_image,news_url
0,The California vaccine lottery is happening today. Here's how to find out if you just won $50k - SF Gate,The California vaccine lottery is happening today. Here's how to find out if you just won $50k - SF Gate Today may be a good day to unmute your phone.,https://s.hdnux.com/photos/01/17/50/16/20874145/3/rawImage.jpg,https://www.sfgate.com/local/article/california-vaccine-lottery-winners-covid-how-to-16225177.php
1,Texas GOP chair Allen West resigns - CNN ,"Texas GOP chair Allen West resigns -    Allen West, the chair of the Texas Republican Party, announced his resignation on Friday as he teased a potential run for statewide office.",https://cdn.cnn.com/cnnnext/dam/assets/210604114241-allen-west-texas-gop-super-tease.jpg,https://www.cnn.com/2021/06/04/politics/texas-gop-chair-allen-west-resigns/index.html
2,"Oregon will end mask requirements for even unvaccinated people when 70% of adults have at least one dose, gov - OregonLive","Oregon will end mask requirements for even unvaccinated people when 70% of adults have at least one dose, gov -   The governor also said she'll remove social distancing requirements and lift capacity limits on restaurants, stadiums and other businesses.",https://www.oregonlive.com/resizer/-Fe7O4ggflUMaH6RQcxETVjndds=/1280x0/smart/cloudfront-us-east-1.images.arcpublishing.com/advancelocal/VY5M4UDTVRF5RO2RAE7ZCSAVMM.png,https://www.oregonlive.com/news/2021/06/gov-kate-brown-oregon-will-end-mask-requirements-for-even-unvaccinated-people-when-70-of-adults-have-at-least-one-dose.html
3,China's deadly Tiananmen crackdown remembered by hundreds in Hong Kong despite ban - Fox News,"China's deadly Tiananmen crackdown remembered by hundreds in Hong Kong despite ban -   No one attended an annual candlelight vigil inside Hong Kong’s Victoria Park on Friday, but hundreds gathered on streets outside to remember China's deadly crackdown in Beijing's Tiananmen Square in 1989 as Hong Kong police cordoned off much of the park to pr…",https://static.foxnews.com/foxnews.com/content/uploads/2021/06/candle-lit-2.jpeg,https://www.foxnews.com/world/tiananmen-hong-kong-vigil-ban
4,Republicans draw inspiration from problem-plagued Arizona audit - CNN ,Republicans draw inspiration from problem-plagued Arizona audit -    Arizona's problem-ridden audit has inspired Republicans elsewhere to push for reviews in their own states as the party continues to hold up former President Donald Trump's lies that the 2020 election was stolen from him.,https://cdn.cnn.com/cnnnext/dam/assets/210514205651-arizona-audit-maricopa-moving-ballots-super-tease.jpeg,https://www.cnn.com/2021/06/04/politics/election-audit-arizona/index.html
5,Pixel Buds A-Series review: Excellent headphone value for Android users - CNET,"Pixel Buds A-Series review: Excellent headphone value for Android users -   Google's new Pixel Buds A lose a few features from the Pixel Buds 2, but these $99 true wireless headphones keep their attractive design and sound quality, making them a good deal for Android users.",https://www.cnet.com/a/img/8RP1bAm3cCwB4Isw1jXClzUnPI4=/1200x630/2021/06/02/57f624f9-d970-4e40-b08e-3b38b2b26050/google-pixel-buds-a-2.jpg,https://www.cnet.com/news/pixel-buds-a-series-review-headphone/
6,Zayn Malik Goes Shirtless in Near-Brawl Outside NYC Bar - TMZ,"Zayn Malik Goes Shirtless in Near-Brawl Outside NYC Bar -   Zayn Malik got involved in a heated confrontation outside a NYC bar, and he was shirtless.",https://imagez.tmz.com/image/43/16by9/2021/06/04/43a405c6c92f45b582a89020998a9ad4_xl.jpg,https://www.tmz.com/2021/06/04/zayn-malik-heated-confrontation-outside-nyc-bar-called-homophobic-slur/
7,Phoenix Suns now have 8-1 odds to win NBA title after beating Los Angeles Lakers - ESPN,Phoenix Suns now have 8-1 odds to win NBA title after beating Los Angeles Lakers -   The Suns have gone from 60-1 long shots to 8-1 contenders for the NBA title after rattling off three straight wins to knock off the reigning champion Los Angeles Lakers.,https://a3.espncdn.com/combiner/i?img=%2Fmedia%2Fmotion%2F2021%2F0604%2Fdm_210604_NBA_Analysis_Stephen_A_on_Lakers%2Fdm_210604_NBA_Analysis_Stephen_A_on_Lakers.jpg,https://www.espn.com/chalk/story/_/id/31566330/phoenix-suns-now-8-1-odds-win-nba-title-beating-los-angeles-lakers
8,"Facebook says Donald Trump to remain banned for two years, effective from Jan. 7 - CNBC","Facebook says Donald Trump to remain banned for two years, effective from Jan. 7 -   Facebook on Friday announced that it may allow former President Donald Trump's Facebook and Instagram accounts to be reinstated in January 2023.",https://image.cnbcfm.com/api/v1/image/105812501-1553522268745rts2e7k6.jpg?v=1610574909,https://www.cnbc.com/2021/06/04/facebook-says-donald-trump-to-remain-banned-from-platform-for-2-years-effective-from-jan-7.html
9,CDC Director 'Deeply Concerned' By Teen COVID-19 Hospitalization Rate - HuffPost,CDC Director 'Deeply Concerned' By Teen COVID-19 Hospitalization Rate -   A new report underscored the fact that even young and healthy people can experience severe effects from the virus.,https://img.huffingtonpost.com/asset/60ba47de2400008b130958b6.jpeg?ops=1778_1000,https://www.huffpost.com/entry/cdc-teen-hospitalization-covid_n_60ba45a0e4b0fd4b86990c6e
10,FBI chief likens ransomware threat to 9/11 as Biden plans to confront Putin at G7 – live - The Guardian,FBI chief likens ransomware threat to 9/11 as Biden plans to confront Putin at G7 – live -   Christopher Wray compares hacking threat with challenge posed by September 11 attacks – follow the latest,https://i.guim.co.uk/img/media/26f3e6dc6b0a35fdfb8107c359d8b4e1b2db88c4/0_0_3500_2100/master/3500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctbGl2ZS5wbmc&enable=upscale&s=496b56e781754f7245409aa648a48808,https://www.theguardian.com/us-news/live/2021/jun/04/joe-biden-us-politics-covid-coronavirus-live-latest
11,Hero Rat Magawa Is Retiring From A Career Of Sniffing Out Land Mines In Cambodia - NPR,"Hero Rat Magawa Is Retiring From A Career Of Sniffing Out Land Mines In Cambodia -   Magawa is credited with saving lives. The African giant pouched rat has found 71 land mines and 38 items of unexploded ordnance. Now, he has reached retirement age after five years of service.",https://media.npr.org/assets/img/2021/06/04/img_4681-magawa-working-from-one-side-_wide-d5222fe4c2ccff534b849f7de74b89845552773f.jpg?s=1400,https://www.npr.org/2021/06/04/1003258540/after-years-of-detecting-land-mines-a-heroic-rat-is-hanging-up-his-sniffer
12,Cheese Curds: Packers trying to balance patience with necessity for Jordan Love - Acme Packing Company,Cheese Curds: Packers trying to balance patience with necessity for Jordan Love -   Love may not be at the standards coaches have set but he might be forced to play if Rodgers really digs his heels in,https://cdn.vox-cdn.com/thumbor/RQbu78vTllx-_CjS9Y3QSqtT0k8=/0x0:3250x1702/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22637609/usa_today_16145571.jpg,https://www.acmepackingcompany.com/2021/6/4/22519016/cheese-curds-packers-trying-to-balance-patience-with-necessity-for-jordan-love
13,NASA is launching two new missions to a ‘lost habitable world’ - Yahoo Entertainment,"NASA is launching two new missions to a ‘lost habitable world’ -   NASA and other space agencies around the world have been focusing a lot of their attention on Mars as of late. It makes sense, since Mars is the planet most ...",https://s.yimg.com/uu/api/res/1.2/8jeby1X81aRa10TIAYE1Sw--~B/aD0xMDM1O3c9MTYwMDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/bgr_208/99fe70e1b50174f6cc0271f1a85ad631,https://www.yahoo.com/entertainment/nasa-launching-two-missions-lost-161122069.html
14,Kim Kardashian Breaks Down Over Kanye West Divorce: 'I Feel Like AF**king Failure' - HuffPost,"Kim Kardashian Breaks Down Over Kanye West Divorce: 'I Feel Like AF**king Failure' -   “He should have a wife that supports his every move and travels with him and does everything and I can’t,"" the reality star says in a new ""KUWTK"" episode.",https://img.huffingtonpost.com/asset/60ba41df270000ad141ff70c.png?ops=1778_1000,https://www.huffpost.com/entry/kim-kardashian-kanye-west-divorce_n_60ba3ce9e4b001ebd4711cc3
15,Ben Affleck's dad says he had 'no idea' about his reunion with Jennifer Lopez - Fox News,Ben Affleck's dad says he had 'no idea' about his reunion with Jennifer Lopez -   Ben Affleck's father was blindsided by the news that the actor has reunited with Jennifer Lopez.,https://static.foxnews.com/foxnews.com/content/uploads/2021/05/Bennifer-2003.jpg,https://www.foxnews.com/entertainment/ben-afflecks-dad-timothy-no-idea-reunion-jennifer-lopez
